time,voltage,pressed
0.1084299,2.80547409579668,1
0.2408307,2.42424242424242,1
0.3039364,2.42424242424242,1
0.3693535,2.42424242424242,1
0.4318548,2.44379276637341,1
0.4941226,2.45845552297165,1
0.5577799,2.4633431085044,1
0.6409708,2.44379276637341,1
0.707673,2.43401759530792,1
0.7693551,2.43401759530792,1
0.8314675,2.44868035190616,1
0.8943124,2.43890518084066,1
0.9590931,2.41446725317693,1
1.022314,2.39980449657869,1
1.0867077,2.39491691104594,1
1.1508334,2.38514173998045,1
1.1995028,2.38514173998045,1
1.2545815,2.3802541544477,1
1.3183502,2.3900293255132,1
1.3804139,2.36070381231672,1
1.4455334,2.36070381231672,1
1.5087497,2.36070381231672,1
1.5707367,2.34604105571848,1
1.6351415,2.40957966764418,1
1.6915929,2.45845552297165,1
1.7631427,2.49755620723363,1
1.8184402,2.5366568914956,1
1.8827569,2.62463343108504,1
1.9466049,2.80058651026393,1
2.0090676,2.96187683284457,1
2.0746639,3.1524926686217,1
2.1385234,3.25024437927664,1
2.200668,3.2258064516129,1
2.2591962,3.25024437927664,1
2.330916,3.20625610948192,1
2.3952354,3.14760508308895,1
2.4682976,3.12805474095797,1
2.5300282,3.10361681329423,1
2.595139,3.09872922776149,1
2.6591583,3.13294232649071,1
2.7244453,3.18670576735093,1
2.7963215,3.29912023460411,1
2.866384,3.32844574780059,1
2.930719,3.35777126099707,1
2.9952681,3.37732160312805,1
3.065116,3.40664711632454,1
3.1300485,3.34799608993157,1
3.1944278,3.33822091886608,1
3.2557783,3.38709677419355,1
3.3145295,3.41642228739003,1
3.3783479,3.41642228739003,1
3.4428368,3.47507331378299,1
3.505763,3.5386119257087,1
3.5692666,3.63636363636364,1
3.6336911,3.68035190615836,1
3.6959335,3.68035190615836,1
3.7613428,3.70967741935484,1
3.8268315,3.69012707722385,1
3.8800143,3.73411534701857,1
3.9531227,3.71456500488759,1
4.0160212,3.74877810361681,1
4.0803028,3.76344086021505,1
4.1449377,3.74877810361681,1
4.2050732,3.70967741935484,1
